Name,Date,Rate,Votes,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening,Genre,Genre 2,Genre 3
The Addams Family,1991,6.9,"143,815",99,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild,Comedy, Fantasy,
Brassic,1991,8.3,"6,334",43,Series,TV-MA,20,Moderate,Moderate,Severe,Severe,Mild,Comedy, Drama,
Sons of Anarchy,1991,8.5,"275,596",45,Series,TV-MA,92,Moderate,Severe,Moderate,Severe,Severe,Crime, Drama, Thriller
Midsommar,2019,7.1,"256,462",148,Film,R,-,Severe,Severe,Moderate,Severe,Severe,Drama, Horror, Mystery
Spencer,2021,6.7,"1,044",111,Film,R,-,Severe,None,Severe,Moderate,Severe,Biography, Drama, Romance
Chapelwaite,2021,7.5,"3,531",None,Series,TV-MA,10,None,Severe,Mild,Mild,Moderate,Drama, Horror, Mystery
Dave Chappelle: The Closer,2021,8.1,"12,454",72,Film,TV-MA,-,Moderate,None,Severe,Mild,Mild,Comedy,,
Kin,2021,7.7,"1,415",None,Series,None,8,No Rate,No Rate,No Rate,No Rate,No Rate,Crime, Drama,
The Wheel of Time,2021,No Rate,No Votes,60,Series,None,7,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Adventure, Drama
Avengers: Endgame,2019,8.4,"947,812",181,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate,Action, Adventure, Drama
Cyrano,2021,6.9,86,124,Film,PG-13,-,No Rate,No Rate,No Rate,No Rate,No Rate,Drama, Musical, Romance
Blue Bloods,2021,7.6,"35,262",43,Series,TV-14,239,None,Moderate,Mild,Mild,Mild,Crime, Drama, Mystery
Dexter: New Blood,2021,No Rate,No Votes,None,Series,None,10,No Rate,No Rate,No Rate,No Rate,No Rate,Drama,,
Wrath of Man,2021,7.2,"117,483",119,Film,R,-,Mild,Severe,Severe,Mild,Severe,Action, Crime, Thriller
Hocus Pocus 2,2022,No Rate,No Votes,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Family, Fantasy
Community,2022,8.5,"237,389",22,Series,TV-14,110,Mild,None,Mild,Mild,None,Comedy,,
The Duff,2015,6.5,"89,023",101,Film,PG-13,-,Mild,Mild,Moderate,Mild,None,Comedy, Romance,
NCIS: Hawai'i,2015,5.4,"1,734",None,Series,TV-14,7,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Crime, Mystery
Family Guy,2015,8.1,"316,718",22,Series,(Banned),376,Moderate,Severe,Severe,Moderate,Mild,Animation, Comedy,
Evil,2015,7.7,"18,024",42,Series,TV-14,27,Mild,Moderate,Mild,No Rate,Moderate,Crime, Drama, Horror
A Nightmare on Elm Street,1984,7.5,"218,811",91,Film,R,-,Mild,Severe,Moderate,Mild,Severe,Horror,,
Tenet,2020,7.4,"427,885",150,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate,Action, Sci-Fi, Thriller
Survive the Game,2021,5.5,"1,935",97,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Thriller,
New Girl,2021,7.7,"205,005",22,Series,TV-14,146,Moderate,None,Mild,Mild,None,Comedy,,
Busanhaeng,2016,7.6,"190,528",118,Film,Not Rated,-,None,Severe,Mild,None,Severe,Action, Horror, Thriller
FBI: International,2016,6.1,"1,354",None,Series,TV-14,5,Mild,Moderate,Moderate,Mild,Moderate,Crime, Drama,
Killing Eve,2016,8.2,"97,938",42,Series,TV-14,32,Mild,Moderate,Mild,Mild,Moderate,Action, Adventure, Drama
Dark,2016,8.8,"325,113",60,Series,TV-MA,26,Moderate,Moderate,Moderate,Mild,Moderate,Crime, Drama, Mystery
Hotel Transylvania: Transformania,2022,6.9,316,None,Film,PG,-,None,Severe,Severe,Severe,Severe,Animation, Adventure, Comedy
Pretty Smart,2022,5.9,"1,581",30,Series,TV-14,10,Moderate,None,Moderate,Mild,None,Comedy, Drama, Romance
Heels,2022,8.2,"4,027",60,Series,TV-MA,8,Moderate,Moderate,Moderate,No Rate,No Rate,Drama, Sport,
Stargirl,2022,7.2,"14,256",566,Series,TV-PG,27,None,Moderate,Mild,Mild,None,Action, Adventure, Crime
This Is Us,2022,8.6,"119,228",45,Series,TV-14,89,Mild,None,Mild,Mild,Mild,Comedy, Drama, Romance
Gladiator,2000,8.5,"1,403,705",155,Film,R,-,Mild,Severe,Mild,None,Severe,Action, Adventure, Drama
Kota Factory,2000,9.2,"61,652",45,Series,TV-14,10,None,None,Mild,Mild,None,Comedy, Drama,
Escape Room: Tournament of Champions,2021,5.8,"24,494",88,Film,PG-13,-,None,Mild,Mild,None,Moderate,Action, Adventure, Horror
The 100,2021,7.6,"231,713",43,Series,TV-14,100,Mild,Moderate,Mild,Mild,Moderate,Drama, Mystery, Sci-Fi
GoldenEye,1995,7.2,"247,470",130,Film,PG-13,-,Moderate,Moderate,Mild,Mild,Moderate,Action, Adventure, Thriller
The Godfather,1972,9.2,"1,709,439",175,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate,Crime, Drama,
Rocketman,2019,7.3,"159,046",121,Film,R,-,Moderate,Mild,Moderate,Severe,Moderate,Biography, Drama, Music
Chucky,2019,7.6,"1,976",None,Series,TV-MA,10,None,Severe,Severe,Mild,Severe,Horror, Mystery, Thriller
Good Witch,2019,7.3,"9,034",48,Series,TV-PG,76,None,None,None,None,None,Comedy, Drama, Fantasy
Sex/Life,2019,5.3,"16,568",None,Series,TV-MA,9,Severe,None,Moderate,Mild,None,Comedy, Drama, Romance
Buffy the Vampire Slayer,2019,8.2,"137,622",44,Series,TV-14,145,Moderate,Moderate,Mild,Mild,Moderate,Action, Drama, Fantasy
Beetle Juice,1988,7.5,"277,189",92,Film,PG,-,Mild,Moderate,Moderate,Mild,Moderate,Comedy, Fantasy,
Magnum P.I.,1988,5.9,"10,579",43,Series,TV-14,61,None,Mild,Mild,Mild,Mild,Action, Adventure, Crime
Friendzone,2021,5.9,"1,379",88,Film,TV-MA,-,Moderate,None,Mild,Mild,None,Comedy, Romance,
The Nightmare Before Christmas,1993,8,"311,747",76,Film,PG,-,None,Mild,None,None,Moderate,Animation, Family, Fantasy
Interstellar,2014,8.6,"1,624,116",169,Film,PG-13,-,None,Mild,Mild,None,Moderate,Adventure, Drama, Sci-Fi
The Rocky Horror Picture Show,1975,7.4,"139,351",100,Film,R,-,Moderate,Mild,Mild,Mild,Mild,Comedy, Horror, Musical
Pig,2021,6.9,"33,733",92,Film,R,-,None,Moderate,Moderate,Mild,Moderate,Drama, Thriller,
The Orville,2021,8,"64,211",44,Series,TV-14,37,Mild,Mild,Mild,Mild,Mild,Adventure, Comedy, Drama
Endeavour,2021,8.6,"21,802",89,Series,TV-14,33,Mild,Moderate,Mild,Mild,Mild,Crime, Drama, Mystery
Batoru rowaiaru,2000,7.6,"176,302",114,Film,Not Rated,-,Mild,Severe,Mild,Mild,Severe,Action, Adventure, Drama
Homeland,2000,8.3,"326,240",55,Series,TV-MA,96,Severe,Moderate,Moderate,Mild,Moderate,Crime, Drama, Mystery
Halloween,2007,6.1,"113,922",109,Film,R,-,Severe,Severe,Severe,Mild,Severe,Horror,,
Knock Knock,2015,4.9,"89,175",99,Film,R,-,Severe,Moderate,Severe,Mild,Moderate,Drama, Thriller,
The Dark Knight,2008,9,"2,428,117",152,Film,PG-13,-,None,Moderate,Mild,Mild,Severe,Action, Crime, Drama
Two and a Half Men,2008,7,"249,542",22,Series,TV-14,262,Moderate,Mild,Moderate,Severe,None,Comedy, Romance,
The Protégé,2021,6.1,"13,778",109,Film,R,-,Mild,Severe,Moderate,Mild,Moderate,Action, Crime, Thriller
I Know What You Did Last Summer,2021,5.1,"1,135",45,Series,TV-14,8,Moderate,Moderate,Severe,Severe,Severe,Horror, Mystery, Thriller
Parks and Recreation,2021,8.6,"233,155",22,Series,TV-14,124,Mild,Mild,Mild,Mild,None,Comedy,,
Star Trek: Lower Decks,2021,7.2,"12,261",25,Series,TV-MA,30,Mild,Moderate,Mild,Mild,Mild,Animation, Action, Adventure
One Piece: Wan pîsu,2021,8.8,"86,612",24,Series,TV-14,995,Mild,Moderate,Mild,Moderate,Moderate,Animation, Action, Adventure
Ghostbusters: Afterlife,2021,No Rate,No Votes,None,Film,PG-13,-,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Fantasy,
A Quiet Place Part II,2020,7.3,"165,973",97,Film,PG-13,-,None,Moderate,Mild,None,Severe,Drama, Horror, Sci-Fi
Cobra Kai,2020,8.6,"127,699",30,Series,TV-14,41,Mild,Moderate,Moderate,Moderate,Mild,Action, Comedy, Drama
FBI: Most Wanted,2020,6.8,"5,342",45,Series,TV-14,34,Mild,Moderate,Mild,Moderate,Moderate,Action, Crime, Drama
Don't Breathe 2,2021,6.1,"29,241",98,Film,R,-,None,Severe,Moderate,Mild,Severe,Action, Drama, Horror
House of Wax,2005,5.4,"119,934",113,Film,R,-,Mild,Severe,Moderate,Mild,Severe,Horror, Thriller,
Wonder Woman 1984,2020,5.4,"233,753",151,Film,PG-13,-,Mild,Mild,Mild,None,Mild,Action, Adventure, Fantasy
Zack Snyder's Justice League,2021,8.1,"340,603",242,Film,R,-,None,Moderate,Mild,Mild,Moderate,Action, Adventure, Fantasy
A Million Little Things,2021,7.9,"10,844",43,Series,TV-14,63,Mild,None,Mild,Mild,Mild,Comedy, Drama, Romance
Reservation Dogs,2021,8.2,"5,946",30,Series,TV-MA,9,None,None,Severe,Mild,No Rate,Comedy, Crime,
Mad Men,2021,8.6,"220,406",47,Series,TV-14,92,Moderate,Mild,Mild,Severe,Mild,Drama,,
Killers of the Flower Moon,2021,No Rate,No Votes,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Crime, Drama, History
The Goldbergs,2021,8,"34,243",22,Series,TV-PG,192,Mild,None,Mild,Mild,None,Comedy,,
Nobody,2021,7.4,"164,357",92,Film,R,-,None,Severe,Severe,Mild,Severe,Action, Crime, Drama
The Tomorrow War,2021,6.6,"170,217",138,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate,Action, Adventure, Drama
1917,2019,8.3,"497,055",119,Film,R,-,None,Severe,Moderate,Mild,Severe,Action, Drama, War
Cowboy Bebop,2019,No Rate,No Votes,None,Series,TV-14,10,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Adventure, Crime
Sweet Home,2019,7.4,"14,574",52,Series,TV-MA,10,None,Severe,Moderate,Moderate,Severe,Drama, Fantasy, Horror
The 355,2022,No Rate,No Votes,None,Film,PG-13,-,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Thriller,
Station 19,2022,6.7,"11,053",60,Series,TV-14,63,Mild,Moderate,Mild,Mild,Moderate,Action, Drama, Romance
Law & Order,2022,7.7,"33,951",45,Series,TV-14,457,Mild,Moderate,Mild,Moderate,Moderate,Crime, Drama, Mystery
The Hunger Games,2012,7.2,"874,403",142,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate,Action, Adventure, Sci-Fi
Jennifer's Body,2009,5.3,"125,403",102,Film,R,-,Mild,Severe,Severe,Mild,Severe,Comedy, Horror,
Prison Break,2009,8.3,"499,859",44,Series,TV-14,90,Mild,Moderate,Mild,Mild,Moderate,Action, Crime, Drama
House of Gucci,2021,No Rate,No Votes,None,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate,Crime, Drama, Thriller
Outer Banks,2021,7.6,"36,571",50,Series,TV-MA,20,Mild,Mild,Moderate,Moderate,Moderate,Action, Crime, Drama
Braqueurs,2021,7,"1,440",44,Series,TV-MA,6,Mild,Severe,Severe,Severe,Mild,Action, Crime, Drama
The Power of the Dog,2021,6.6,"2,853",126,Film,R,-,Moderate,Mild,Mild,Moderate,Mild,Drama, Romance, Western
Halloween II,1981,6.5,"81,417",92,Film,R,-,Moderate,Severe,Moderate,Mild,Severe,Horror,,
Sherlock,1981,9.1,"853,642",88,Series,TV-14,15,Mild,Moderate,Mild,Moderate,Moderate,Crime, Drama, Mystery
Trick 'r Treat,2007,6.8,"86,032",82,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate,Comedy, Horror,
Prisoners,2013,8.1,"641,220",153,Film,R,-,None,Severe,Severe,Mild,Severe,Crime, Drama, Mystery
Hereditary,2018,7.3,"270,994",127,Film,R,-,Moderate,Severe,Moderate,Moderate,Severe,Drama, Horror, Mystery
Black as Night,2021,3.9,"1,087",87,Film,Not Rated,-,None,Mild,Moderate,Moderate,Moderate,Drama, Horror, Thriller
The Good Girl,2002,6.4,"44,437",93,Film,R,-,Moderate,Moderate,Moderate,Moderate,Mild,Drama, Romance,
Teen Wolf,2002,7.6,"136,164",41,Series,TV-14,100,Mild,Moderate,Mild,Mild,Moderate,Action, Drama, Fantasy
Dr. Death,2021,7.7,"7,648",None,Series,TV-MA,8,Moderate,Moderate,Severe,Moderate,Mild,Crime, Drama, Thriller
It,2017,7.3,"491,621",135,Film,R,-,Mild,Severe,Severe,Mild,Severe,Horror,,
The Father,2020,8.3,"101,279",97,Film,PG-13,-,None,Mild,Mild,Mild,Moderate,Drama,,
Die Another Day,2002,6.1,"212,253",133,Film,PG-13,-,Moderate,Moderate,Mild,Mild,Moderate,Action, Adventure, Thriller
Call the Midwife,2002,8.5,"22,472",60,Series,TV-PG,89,None,Mild,None,Mild,Mild,Drama, History,
Inception,2010,8.8,"2,178,860",148,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate,Action, Adventure, Sci-Fi
Doctor Sleep,2019,7.3,"167,153",152,Film,R,-,Mild,Severe,Moderate,Moderate,Severe,Drama, Fantasy, Horror
Pulp Fiction,1994,8.9,"1,915,230",154,Film,R,-,Moderate,Severe,Severe,Severe,Moderate,Crime, Drama,
Ask 101,1994,7.5,"12,077",40,Series,TV-14,16,Mild,Mild,Severe,Moderate,Mild,Comedy, Drama, Romance
The Departed,2006,8.5,"1,244,747",151,Film,R,-,Moderate,Severe,Severe,Moderate,Severe,Crime, Drama, Thriller
Spider-Man,2002,7.3,"728,050",121,Film,PG-13,-,Mild,Moderate,Mild,None,Moderate,Action, Adventure, Sci-Fi
Euphoria,2002,8.4,"79,994",55,Series,TV-MA,15,Severe,Moderate,Severe,Severe,Severe,Drama,,
The Umbrella Academy,2002,8,"182,838",60,Series,TV-14,30,Mild,Moderate,Mild,Moderate,Mild,Action, Adventure, Comedy
Once Upon a Time,2002,7.7,"214,885",60,Series,TV-PG,156,Mild,Mild,Mild,Mild,Mild,Adventure, Fantasy, Romance
Reminiscence,2021,5.9,"36,510",116,Film,PG-13,-,Mild,Moderate,Mild,Moderate,Moderate,Mystery, Romance, Sci-Fi
Hollington Drive,2021,4.6,254,60,Series,None,4,No Rate,No Rate,No Rate,No Rate,No Rate,Thriller,,
Heartland,2021,8.4,"13,006",45,Series,TV-PG,225,None,Mild,Mild,Mild,None,Drama, Family,
Boku no hîrô akademia,2021,8.4,"48,172",24,Series,TV-14,117,Mild,Moderate,Mild,None,Mild,Animation, Action, Adventure
Knives Out 2,2022,No Rate,No Votes,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Crime, Drama
Scary Movie,2000,6.2,"243,587",88,Film,R,-,Severe,Severe,Severe,Moderate,Moderate,Comedy,,
South Park,2000,8.7,"345,100",22,Series,TV-MA,311,Severe,Severe,Severe,Severe,Moderate,Animation, Comedy,
Turner & Hooch,2000,6.6,"2,625",None,Series,TV-PG,12,Mild,Mild,None,None,Moderate,Comedy, Drama, Family
Mortal Kombat,2021,6.1,"145,124",110,Film,R,-,None,Severe,Severe,Mild,Severe,Action, Adventure, Fantasy
Ghostbusters,1984,7.8,"374,701",105,Film,PG,-,Mild,Mild,Moderate,Mild,Mild,Action, Comedy, Fantasy
Locke & Key,1984,7.4,"51,137",48,Series,TV-14,24,Mild,Moderate,Mild,Mild,Mild,Drama, Fantasy, Horror
The Sinner,1984,7.9,"99,632",45,Series,TV-MA,29,Moderate,Moderate,Moderate,Moderate,Severe,Crime, Drama, Mystery
Fight Club,1999,8.8,"1,948,261",139,Film,R,-,Moderate,Severe,Severe,Moderate,Severe,Drama,,
Rakka,2017,7.4,"7,037",22,Film,Not Rated,-,No Rate,Severe,Moderate,Mild,No Rate,Short, Horror, Sci-Fi
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,"1,736,338",178,Film,PG-13,-,None,Moderate,None,Mild,Moderate,Action, Adventure, Drama
Help,2021,8,"4,320",98,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Drama,,
Mean Girls,2004,7,"356,752",97,Film,PG-13,-,Moderate,Mild,Moderate,Mild,Mild,Comedy,,
Daredevil,2004,8.6,"382,011",54,Series,TV-MA,39,Mild,Severe,Moderate,Mild,Severe,Action, Crime, Drama
The Shining,1980,8.4,"946,683",146,Film,R,-,Moderate,Severe,Moderate,Mild,Severe,Drama, Horror,
Star Trek: Deep Space Nine,1980,8,"57,362",45,Series,TV-PG,173,Mild,Moderate,Mild,Mild,Moderate,Action, Adventure, Drama
Dr. No,1962,7.2,"157,817",110,Film,PG,-,Mild,Mild,Mild,Mild,Mild,Action, Adventure, Thriller
Hawaii Five-0,1962,7.3,"69,783",42,Series,TV-14,240,Mild,Moderate,None,Mild,Moderate,Action, Crime, Drama
Arrow,1962,7.5,"418,232",42,Series,TV-14,170,Mild,Moderate,Mild,Moderate,Moderate,Action, Adventure, Crime
Léon,1994,8.5,"1,085,586",110,Film,R,-,Mild,Severe,Moderate,Moderate,Moderate,Action, Crime, Drama
The Manor,2021,5.3,"1,677",81,Film,Not Rated,-,None,None,Mild,None,Mild,Horror,,
Bosch,2021,8.4,"58,565",51,Series,TV-MA,68,Moderate,Moderate,Moderate,Moderate,Moderate,Crime, Drama,
South of Heaven,2021,5.7,376,120,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Crime, Drama
Encanto,2021,No Rate,No Votes,None,Film,PG,-,No Rate,No Rate,No Rate,No Rate,No Rate,Animation, Adventure, Comedy
Don't Look Up,2021,No Rate,No Votes,145,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Drama, Sci-Fi
Legends of Tomorrow,2021,6.8,"97,989",42,Series,TV-14,104,Mild,Moderate,Mild,Mild,Mild,Action, Adventure, Drama
Bingo Hell,2021,4.3,"1,139",85,Film,Not Rated,-,None,Moderate,Moderate,Mild,Mild,Comedy, Fantasy, Horror
Django Unchained,2012,8.4,"1,432,853",165,Film,R,-,Moderate,Severe,Severe,Mild,Severe,Drama, Western,
Zhang jin hu,2021,5.2,646,176,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Drama, War
Friday the 13th,1980,6.4,"129,391",95,Film,R,-,Moderate,Severe,Mild,Mild,Severe,Horror, Mystery, Thriller
Gone Girl,2014,8.1,"912,613",149,Film,R,-,Severe,Severe,Severe,Mild,Severe,Drama, Mystery, Thriller
Bob's Burgers,2014,8.1,"71,250",22,Series,TV-PG,222,Mild,Mild,Mild,Mild,None,Animation, Comedy,
Truth Be Told,2014,7.1,"9,465",45,Series,TV-MA,18,Mild,No Rate,Moderate,No Rate,No Rate,Crime, Drama, Mystery
Virgin River,2014,7.4,"30,823",44,Series,TV-14,32,Mild,Mild,Mild,Mild,Mild,Drama, Romance,
"If I Can't Have Love, I Want Power",2021,7,"1,061",53,Film,R,-,Severe,Moderate,Mild,Mild,Mild,Drama, Fantasy, Horror
SEAL Team,2021,7.6,"19,476",43,Series,TV-14,94,None,Moderate,Moderate,Mild,Moderate,Action, Drama, War
Poltergeist,1982,7.3,"152,037",114,Film,PG,-,Mild,Moderate,Mild,Moderate,Severe,Horror, Thriller,
The Silence of the Lambs,1991,8.6,"1,336,681",118,Film,R,-,Moderate,Severe,Moderate,None,Severe,Crime, Drama, Thriller
Love & Other Drugs,2010,6.7,"190,511",112,Film,R,-,Severe,Mild,Severe,Moderate,Mild,Comedy, Drama, Romance
Saturday Night Live,2010,8,"45,651",90,Series,TV-14,915,Moderate,Mild,Moderate,Moderate,None,Comedy, Music,
Star Trek: Discovery,2010,7.2,"103,517",60,Series,TV-14,53,Mild,Moderate,Moderate,None,Moderate,Action, Adventure, Drama
Red Rocket,2021,7.4,512,128,Film,R,-,Severe,No Rate,No Rate,No Rate,Mild,Comedy, Drama,
Scrubs,2021,8.3,"244,809",22,Series,TV-14,182,Mild,Mild,Mild,Mild,Mild,Comedy, Drama,
Hush,2016,6.6,"117,663",82,Film,R,-,None,Severe,Moderate,None,Severe,Horror, Thriller,
Line of Duty,2016,8.7,"49,699",60,Series,TV-14,36,Mild,Severe,Mild,Mild,Moderate,Crime, Drama, Mystery
Gunpowder Milkshake,2021,6,"30,807",114,Film,R,-,None,Severe,Moderate,Mild,Moderate,Action, Crime, Thriller
Pleasure,2021,6.9,698,109,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Drama,,
Agents of S.H.I.E.L.D.,2021,7.5,"207,705",45,Series,TV-PG,136,Mild,Moderate,Mild,Mild,Moderate,Action, Adventure, Drama
The Good Place,2021,8.2,"133,186",22,Series,TV-PG,50,Mild,Mild,Mild,Mild,None,Comedy, Drama, Fantasy
Candyman,1992,6.7,"83,944",99,Film,R,-,Moderate,Severe,Moderate,Mild,Severe,Horror, Thriller,
True Blood,1992,7.8,"235,708",55,Series,TV-MA,81,Severe,Severe,Severe,Moderate,Moderate,Drama, Fantasy, Mystery
Shadow and Bone,1992,7.7,"66,152",None,Series,TV-14,16,Mild,Moderate,None,Mild,Moderate,Action, Adventure, Drama
How to Get Away with Murder,1992,8.1,"139,455",43,Series,TV-14,90,Moderate,Moderate,Mild,Moderate,Moderate,Crime, Drama, Mystery
Thir13en Ghosts,2001,5.6,"83,586",91,Film,R,-,Moderate,Severe,Moderate,None,Severe,Fantasy, Horror,
The Fall,2001,8.1,"93,338",60,Series,TV-MA,17,Severe,Moderate,Moderate,Moderate,Severe,Crime, Drama, Thriller
Mad Max: Fury Road,2015,8.1,"930,996",120,Film,R,-,Mild,Moderate,Mild,Mild,Moderate,Action, Adventure, Sci-Fi
Mindhunter,2015,8.6,"244,658",60,Series,TV-MA,19,Severe,Severe,Moderate,Mild,Moderate,Crime, Drama, Thriller
Man on Fire,2004,7.7,"345,641",146,Film,R,-,Mild,Severe,Moderate,Mild,Severe,Action, Crime, Drama
Tusk,2014,5.3,"49,430",102,Film,R,-,Moderate,Severe,Severe,Mild,Severe,Comedy, Drama, Horror
Red Election,2014,6.1,252,None,Series,None,10,No Rate,No Rate,No Rate,No Rate,No Rate,Thriller,,
The World Is Not Enough,1999,6.4,"194,551",128,Film,PG-13,-,Moderate,Moderate,Mild,Mild,Moderate,Action, Adventure, Crime
Halloweentown,1998,6.7,"15,617",84,Film,TV-G,-,None,Mild,None,None,Mild,Adventure, Comedy, Family
Invincible,1998,8.7,"92,233",50,Series,TV-MA,13,Mild,Severe,Moderate,Mild,Severe,Animation, Action, Adventure
Perry Mason,1998,8.2,"6,949",60,Series,TV-PG,271,None,None,None,Mild,None,Crime, Drama, Mystery
Chesapeake Shores,1998,7.5,"6,379",42,Series,TV-PG,45,No Rate,No Rate,No Rate,No Rate,No Rate,Drama, Family,
Star Trek: Voyager,1998,7.8,"63,551",44,Series,TV-PG,168,None,Mild,None,Mild,Moderate,Action, Adventure, Sci-Fi
Creepshow,1998,7.1,"5,933",44,Series,TV-MA,19,Mild,Severe,Severe,Moderate,Severe,Fantasy, Horror, Mystery
On Her Majesty's Secret Service,1969,6.7,"86,280",142,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate,Action, Adventure, Thriller
Grown Ups,2010,6,"237,673",102,Film,PG-13,-,Mild,Mild,Mild,Mild,None,Comedy,,
Fear Street: 1994,2021,6.2,"65,629",107,Film,R,-,Mild,Severe,Moderate,Moderate,Moderate,Drama, Horror, Mystery
Goodfellas,1990,8.7,"1,074,102",146,Film,R,-,Mild,Severe,Severe,Severe,Severe,Biography, Crime, Drama
Mom,1990,7.2,"31,440",30,Series,TV-14,170,Moderate,None,Mild,Moderate,None,Comedy, Drama, Romance
Army of Thieves,2021,No Rate,No Votes,127,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Comedy, Crime
The Big Leap,2021,6.8,899,None,Series,TV-14,6,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Drama,
Inglourious Basterds,2009,8.3,"1,338,008",153,Film,R,-,Mild,Severe,Severe,Mild,Severe,Adventure, Drama, War
CODA,2021,8.1,"21,506",111,Film,PG-13,-,Mild,None,Moderate,Mild,None,Drama, Music,
The Goonies,1985,7.8,"256,589",114,Film,PG,-,Mild,Mild,Moderate,Mild,Mild,Adventure, Comedy, Family
"Murder, She Wrote",1985,7,"21,413",50,Series,TV-PG,264,None,Mild,Mild,Mild,Mild,Crime, Drama, Mystery
The Fifth Element,1997,7.7,"450,359",126,Film,PG-13,-,Moderate,Mild,Mild,Mild,Mild,Action, Adventure, Sci-Fi
The L Word: Generation Q,1997,7.4,"5,061",55,Series,TV-MA,18,Severe,None,Severe,Severe,Mild,Drama,,
Once Upon a Time in America,1984,8.3,"330,699",229,Film,R,-,Severe,Severe,Severe,Severe,Severe,Crime, Drama,
Wentworth,1984,8.6,"18,972",45,Series,TV-MA,100,Moderate,Severe,Severe,Severe,Severe,Crime, Drama,
Demon Slayer: Kimetsu No Yaiba,1984,8.7,"53,641",25,Series,TV-MA,28,None,Severe,Mild,None,Severe,Animation, Action, Adventure
30 Rock,1984,8.2,"116,862",22,Series,TV-14,138,Mild,Mild,Mild,Mild,None,Comedy,,
The King's Man,2021,No Rate,No Votes,None,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Adventure, Comedy
BoJack Horseman,2021,8.7,"129,718",25,Series,TV-MA,77,Moderate,Mild,Moderate,Severe,Moderate,Animation, Comedy, Drama
Scaredy Cats,2021,6.3,193,None,Series,TV-G,9,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Family, Fantasy
Nightbooks,2021,5.8,"5,795",103,Film,TV-PG,-,None,Mild,Mild,None,Moderate,Family, Fantasy, Horror
Acapulco,2021,6.3,488,None,Series,TV-14,10,Mild,No Rate,No Rate,No Rate,No Rate,Comedy,,
The Lighthouse,2019,7.5,"170,825",109,Film,R,-,Moderate,Severe,Moderate,Moderate,Severe,Drama, Fantasy, Horror
Psych,2019,8.3,"90,054",44,Series,TV-PG,121,Mild,Mild,Mild,Mild,Mild,Comedy, Crime, Mystery
NCIS: Los Angeles,2019,6.7,"50,798",43,Series,TV-14,287,Mild,Mild,Mild,Mild,Moderate,Action, Crime, Drama
The Wonder Years,2019,5.5,"1,855",None,Series,TV-PG,9,Moderate,Mild,Moderate,Mild,Mild,Comedy, Drama, Family
Columbo,2019,8.3,"31,439",100,Series,TV-PG,68,None,Mild,None,Moderate,Mild,Crime, Drama, Mystery
The Courier,2020,7.1,"36,654",112,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild,Drama, History, Thriller
